id,corpus,site,region,period,material,type,signs_str,sign_count,pdr_reading,grammar_pattern,n_translated,n_unknown,coverage,sanskrit,translation_yaj
455.1,yajnadevam,Harappa,Inter-Riverine,3,Steatite,TAB:I,+740-760-240+,1,[+740-760-240+],SOLO,0,1,0.0,mfRan,O killer[√मृण् शतृ]
456.1,yajnadevam,Harappa,Inter-Riverine,3,Steatite,TAB:I,+033-700+,1,[+033-700+],SOLO,0,1,0.0,ref:290.1,
457.1,yajnadevam,Harappa,Inter-Riverine,3,Steatite,TAB:I,+740-636-240[,1,[+740-636-240[],SOLO,0,1,0.0,,
457.2,yajnadevam,Harappa,Inter-Riverine,3,Steatite,TAB:I,]892-413+,1,[]892-413+],SOLO,0,1,0.0,,
458.1,yajnadevam,Harappa,Inter-Riverine,3,Faience,TAB:B,+700-033+,1,[+700-033+],SOLO,0,1,0.0,ref:212.1,
458.2,yajnadevam,Harappa,Inter-Riverine,3,Faience,TAB:B,+400-740-067-100+,1,[+400-740-067-100+],SOLO,0,1,0.0,amaniH,The path[Uṇ; SR: pathya]
459.1,yajnadevam,Harappa,Inter-Riverine,3,Clay,TAB:B,+824-892-413+,1,[+824-892-413+],SOLO,0,1,0.0,ref:295.1,
459.2,yajnadevam,Harappa,Inter-Riverine,3,Clay,TAB:B,+740-100-415+,1,[+740-100-415+],SOLO,0,1,0.0,tAna,O roarer[√तन् अच्]
460.1,yajnadevam,Harappa,Inter-Riverine,3,Steatite,TAB:I,]740-760[,1,[]740-760[],SOLO,0,1,0.0,,
461.1,yajnadevam,Harappa,Inter-Riverine,3,Faience,TAB:B,+700-031+,1,[+700-031+],SOLO,0,1,0.0,ref:26.1,
461.2,yajnadevam,Harappa,Inter-Riverine,3,Faience,TAB:B,+740-892+,1,[+740-892+],SOLO,0,1,0.0,ref:133.1,
462.1,yajnadevam,Harappa,Inter-Riverine,3,Faience,TAB:B,]034[,1,[]034[],SOLO,0,1,0.0,ca,also[Pāṇ]
462.2,yajnadevam,Harappa,Inter-Riverine,3,Faience,TAB:B,]740-176[,1,[]740-176[],SOLO,0,1,0.0,,
463.1,yajnadevam,Harappa,Inter-Riverine,3,Faience,TAB:B,+700-032-690-368-817+,1,[+700-032-690-368-817+],SOLO,0,1,0.0,raRaka-han,O Kāma[Apte] killer[RV]
463.2,yajnadevam,Harappa,Inter-Riverine,3,Faience,TAB:B,+400-740-176+,1,[+400-740-176+],SOLO,0,1,0.0,ref:260.2,
464.1,yajnadevam,Harappa,Inter-Riverine,-,-,SEAL:S,+390-003+,1,[+390-003+],SOLO,0,1,0.0,jara,O old one[=Rudra; vṛddha Sri Rudram]
465.1,yajnadevam,Harappa,Inter-Riverine,3,Copper,TAB:B,+000-000[,1,[+000-000[],SOLO,0,1,0.0,,
465.2,yajnadevam,Harappa,Inter-Riverine,3,Copper,TAB:B,]176-790[,1,[]176-790[],SOLO,0,1,0.0,,
466.1,yajnadevam,Harappa,Inter-Riverine,3,Faience,TAB:B,+002-820+,1,[+002-820+],SOLO,0,1,0.0,ref:30.1,
466.2,yajnadevam,Harappa,Inter-Riverine,3,Faience,TAB:B,+861-003+,1,[+861-003+],SOLO,0,1,0.0,ref:464.1,
467.1,yajnadevam,Harappa,Inter-Riverine,3,Faience,TAB:B,+700-034+,1,[+700-034+],SOLO,0,1,0.0,ref:198.2,
467.2,yajnadevam,Harappa,Inter-Riverine,3,Faience,TAB:B,+740-176-220+,1,[+740-176-220+],SOLO,0,1,0.0,mahan,O bestower[√मह् शतृ]
468.1,yajnadevam,Harappa,Inter-Riverine,3,Faience,TAB:B,+034-700+,1,[+034-700+],SOLO,0,1,0.0,ref:396.1,
468.2,yajnadevam,Harappa,Inter-Riverine,3,Faience,TAB:B,+400-775-516+,1,[+400-775-516+],SOLO,0,1,0.0,ref:396.2,
469.1,yajnadevam,Harappa,Inter-Riverine,3,Steatite,TAB:I,+740-760-240+,1,[+740-760-240+],SOLO,0,1,0.0,ref:455.1,
470.1,yajnadevam,Harappa,Inter-Riverine,3,Steatite,TAB:I,+700-033+,1,[+700-033+],SOLO,0,1,0.0,ref:212.1,
470.2,yajnadevam,Harappa,Inter-Riverine,3,Steatite,TAB:I,+156+,1,[+156+],SOLO,0,1,0.0,ref:182.1,
470.3,yajnadevam,Harappa,Inter-Riverine,3,Steatite,TAB:I,+000+,1,[+000+],SOLO,0,1,0.0,,
471.1,yajnadevam,Harappa,Inter-Riverine,3,Steatite,TAB:I,]000-740+,1,[]000-740+],SOLO,0,1,0.0,,
472.1,yajnadevam,Harappa,Inter-Riverine,3,Steatite,TAB:I,+526-555-235+,1,[+526-555-235+],SOLO,0,1,0.0,A-maham,Fully[RV] mighty[RV](=The giver[RV 7.97.2])
472.2,yajnadevam,Harappa,Inter-Riverine,3,Steatite,TAB:I,+824-892-413+,1,[+824-892-413+],SOLO,0,1,0.0,ref:295.1,
473.1,yajnadevam,Harappa,Inter-Riverine,3,Faience,TAB:B,]000-700+,1,[]000-700+],SOLO,0,1,0.0,,
474.1,yajnadevam,Harappa,Inter-Riverine,3,Faience,TAB:B,]000-700+,1,[]000-700+],SOLO,0,1,0.0,,
474.2,yajnadevam,Harappa,Inter-Riverine,3,Faience,TAB:B,]740-176-000[,1,[]740-176-000[],SOLO,0,1,0.0,,
475.1,yajnadevam,Harappa,Inter-Riverine,3,Faience,TAB:B,]034[,1,[]034[],SOLO,0,1,0.0,ca,also[Pāṇ]
475.2,yajnadevam,Harappa,Inter-Riverine,3,Faience,TAB:B,]740-440-920[,1,[]740-440-920[],SOLO,0,1,0.0,,
475.3,yajnadevam,Harappa,Inter-Riverine,3,Faience,TAB:B,]000[,1,[]000[],SOLO,0,1,0.0,,
476.1,yajnadevam,Harappa,Inter-Riverine,3,Steatite,TAB:I,+700-034+,1,[+700-034+],SOLO,0,1,0.0,ref:198.2,
476.2,yajnadevam,Harappa,Inter-Riverine,3,Steatite,TAB:I,+002-861-416+,1,[+002-861-416+],SOLO,0,1,0.0,taravaH,O swift ones[RV][तरु vmp]
477.1,yajnadevam,Harappa,Inter-Riverine,3,Faience,TAB:B,+700-032+,1,[+700-032+],SOLO,0,1,0.0,ref:39.1,
477.2,yajnadevam,Harappa,Inter-Riverine,3,Faience,TAB:B,+000-591+,1,[+000-591+],SOLO,0,1,0.0,,
478.1,yajnadevam,Harappa,Inter-Riverine,3,Faience,TAB:B,+700[,1,[+700[],SOLO,0,1,0.0,ref:26.1,
478.2,yajnadevam,Harappa,Inter-Riverine,3,Faience,TAB:B,+400[,1,[+400[],SOLO,0,1,0.0,ref:305.1,
479.1,yajnadevam,Harappa,Inter-Riverine,3,Steatite,SEAL:S,+520-220-415-060-920+,1,[+520-220-415-060-920+],SOLO,0,1,0.0,dama-tman,The subduing[MBh] vital spirit(Prāṇa)[RV]
480.1,yajnadevam,Harappa,Inter-Riverine,3,Faience,TAB:B,+700-034+,1,[+700-034+],SOLO,0,1,0.0,ref:198.2,
480.2,yajnadevam,Harappa,Inter-Riverine,3,Faience,TAB:B,+400-740-760-382+,1,[+400-740-760-382+],SOLO,0,1,0.0,BaraRiH,Bharaṇi stellar mansion[AV]
481.1,yajnadevam,Harappa,Inter-Riverine,3,Steatite,TAB:I,+520-220-415+,1,[+520-220-415+],SOLO,0,1,0.0,ref:221.1,
481.2,yajnadevam,Harappa,Inter-Riverine,3,Steatite,TAB:I,+110+,1,[+110+],SOLO,0,1,0.0,ref:26.1,
482.1,yajnadevam,Harappa,Inter-Riverine,3,Clay,POT:T:g,+154-032-000+,1,[+154-032-000+],SOLO,0,1,0.0,,
483.1,yajnadevam,Harappa,Inter-Riverine,3,Clay,POT:T:g,+400-484[,1,[+400-484[],SOLO,0,1,0.0,,
484.1,yajnadevam,Harappa,Inter-Riverine,3,Steatite,TAB:I,+700-034+,1,[+700-034+],SOLO,0,1,0.0,ref:198.2,
484.2,yajnadevam,Harappa,Inter-Riverine,3,Steatite,TAB:I,+824-032-578-415+,1,[+824-032-578-415+],SOLO,0,1,0.0,ref:222.1,
484.3,yajnadevam,Harappa,Inter-Riverine,3,Steatite,TAB:I,+740-760-840-799+,1,[+740-760-840-799+],SOLO,0,1,0.0,ref:222.2,
485.1,yajnadevam,Harappa,Inter-Riverine,3,Clay,TAB:B,+700-032-220+,1,[+700-032-220+],SOLO,0,1,0.0,ref:467.2,
485.2,yajnadevam,Harappa,Inter-Riverine,3,Clay,TAB:B,+520-220-415-240-803+,1,[+520-220-415-240-803+],SOLO,0,1,0.0,sama-tman,O one who is every[RV] soul[RV]
486.1,yajnadevam,Harappa,Inter-Riverine,3,Steatite,TAB:I,+700-000[,1,[+700-000[],SOLO,0,1,0.0,,
486.2,yajnadevam,Harappa,Inter-Riverine,3,Steatite,TAB:I,+000[,1,[+000[],SOLO,0,1,0.0,,
487.1,yajnadevam,Harappa,Inter-Riverine,3,Faience,TAB:B,+700-033+,1,[+700-033+],SOLO,0,1,0.0,ref:212.1,
488.1,yajnadevam,Harappa,Inter-Riverine,3,Steatite,TAB:I,+034-700+,1,[+034-700+],SOLO,0,1,0.0,ref:396.1,
488.2,yajnadevam,Harappa,Inter-Riverine,3,Steatite,TAB:I,+002-861-416+,1,[+002-861-416+],SOLO,0,1,0.0,ref:476.2,
489.1,yajnadevam,Harappa,Inter-Riverine,3,Steatite,TAB:I,+390-003+,1,[+390-003+],SOLO,0,1,0.0,ref:464.1,
490.1,yajnadevam,Harappa,Inter-Riverine,3,Steatite,TAB:I,+700-032+,1,[+700-032+],SOLO,0,1,0.0,ref:39.1,
490.2,yajnadevam,Harappa,Inter-Riverine,3,Steatite,TAB:I,+400-740-032-015+,1,[+400-740-032-015+],SOLO,0,1,0.0,pazaRI,One with binding (=पाष noose)[√पष् ल्युट् इनि][SR: pāśa]
491.1,yajnadevam,Harappa,Inter-Riverine,3,Steatite,TAB:I,+455-590-142-220+,1,[+455-590-142-220+],SOLO,0,1,0.0,mA vaza,Do not[RV] kill[√वष् लोट् 2s] (us)
491.2,yajnadevam,Harappa,Inter-Riverine,3,Steatite,TAB:I,+504-350-741-060-920+,1,[+504-350-741-060-920+],SOLO,0,1,0.0,damana-cama,O Subduing[Mbh] Consumer[√चम् अच्]
492.1,yajnadevam,Harappa,Inter-Riverine,3,Steatite,TAB:I,]892-413[,1,[]892-413[],SOLO,0,1,0.0,,
492.2,yajnadevam,Harappa,Inter-Riverine,3,Steatite,TAB:I,]000-240-031-032-171[,1,[]000-240-031-032-171[],SOLO,0,1,0.0,,
493.1,yajnadevam,Harappa,Inter-Riverine,3,Clay,POT:T:g,+032+,1,[+032+],SOLO,0,1,0.0,ref:34.1,
494.1,yajnadevam,Harappa,Inter-Riverine,-,-,TAB:B,+400-740-100-176-175+,1,[+400-740-100-176-175+],SOLO,0,1,0.0,sahAni,May I prevail[√सह् लोट् 1s]
495.1,yajnadevam,Harappa,Inter-Riverine,3,Faience,TAB:B,+000-000-000-000+,1,[+000-000-000-000+],SOLO,0,1,0.0,,
495.2,yajnadevam,Harappa,Inter-Riverine,3,Faience,TAB:B,+400-711-000-000-000+,1,[+400-711-000-000-000+],SOLO,0,1,0.0,,
496.1,yajnadevam,Harappa,Inter-Riverine,3,-,TAB:B,+740-000+,1,[+740-000+],SOLO,0,1,0.0,,
497.1,yajnadevam,Harappa,Inter-Riverine,3,Faience,TAB:B,+700-032+,1,[+700-032+],SOLO,0,1,0.0,ref:39.1,
497.2,yajnadevam,Harappa,Inter-Riverine,3,Faience,TAB:B,+400-740-000-792+,1,[+400-740-000-792+],SOLO,0,1,0.0,,
498.1,yajnadevam,Harappa,Inter-Riverine,-,-,TAB:B,+125-700-033+,1,[+125-700-033+],SOLO,0,1,0.0,janaDAH,The one nourishing creatures[TBr]
498.2,yajnadevam,Harappa,Inter-Riverine,-,-,TAB:B,]000-740-233-240+,1,[]000-740-233-240+],SOLO,0,1,0.0,,
499.1,yajnadevam,Harappa,Inter-Riverine,-,-,TAB:B,+700-033-368-091+,1,[+700-033-368-091+],SOLO,0,1,0.0,Ana-jAna,O origin[RV] of prāṇa(Rudra)[Praśna Up. 2.9]
499.2,yajnadevam,Harappa,Inter-Riverine,-,-,TAB:B,+700-033-400-740-388+,1,[+700-033-400-740-388+],SOLO,0,1,0.0,vARijam,A merchant[TBr] (Also Name  of Śiva)
500.1,yajnadevam,Harappa,Inter-Riverine,3,Clay,POT:T:S,]003-000+,1,[]003-000+],SOLO,0,1,0.0,,
501.1,yajnadevam,Harappa,Inter-Riverine,3,Stoneware,BNGL,+534-556+,1,[+534-556+],SOLO,0,1,0.0,ahaH,Ahar(A Vasu deity)[MBh]
502.1,yajnadevam,Harappa,Inter-Riverine,3,Steatite,SEAL:S,+405-003+,1,[+405-003+],SOLO,0,1,0.0,ref:464.1,
503.1,yajnadevam,Harappa,Inter-Riverine,3,Clay,POT:T:s,+550-000+,1,[+550-000+],SOLO,0,1,0.0,,
504.1,yajnadevam,Harappa,Inter-Riverine,3,-,TAB:B,+032-700+,1,[+032-700+],SOLO,0,1,0.0,ref:409.1,
504.2,yajnadevam,Harappa,Inter-Riverine,3,-,TAB:B,+400-740-000-832-000+,1,[+400-740-000-832-000+],SOLO,0,1,0.0,,
505.1,yajnadevam,Harappa,Inter-Riverine,3,Faience,TAB:B,+400-740-405-590-235-806[,1,[+400-740-405-590-235-806[],SOLO,0,1,0.0,,
506.1,yajnadevam,Harappa,Inter-Riverine,3,Faience,TAB:B,+700-034+,1,[+700-034+],SOLO,0,1,0.0,ref:198.2,
506.2,yajnadevam,Harappa,Inter-Riverine,3,Faience,TAB:B,+151-740-221+,1,[+151-740-221+],SOLO,0,1,0.0,A-mAnya,O most honorable one[Mbh; =Rudra;Sri Rudram: śruta]
507.1,yajnadevam,Harappa,Inter-Riverine,3,Steatite,SEAL:S,]000-032-002-820+,1,[]000-032-002-820+],SOLO,0,1,0.0,,
508.1,yajnadevam,Harappa,Inter-Riverine,3,Faience,TAB:B,+700-034+,1,[+700-034+],SOLO,0,1,0.0,ref:198.2,
508.2,yajnadevam,Harappa,Inter-Riverine,3,Faience,TAB:B,+151-740-222+,1,[+151-740-222+],SOLO,0,1,0.0,nama-anya,"The inexhaustible[AV] one who turns away[√नम् अच्] [RV 2.15.6,3.1.2,10.28.4,10.157.5]"
509.1,yajnadevam,Harappa,Inter-Riverine,3,Faience,TAB:B,+700-034+,1,[+700-034+],SOLO,0,1,0.0,ref:198.2,
509.2,yajnadevam,Harappa,Inter-Riverine,3,Faience,TAB:B,+151-740-222+,1,[+151-740-222+],SOLO,0,1,0.0,ref:508.2,
510.1,yajnadevam,Harappa,Inter-Riverine,3,Faience,TAB:B,+700-004+,1,[+700-004+],SOLO,0,1,0.0,ref:198.2,
510.2,yajnadevam,Harappa,Inter-Riverine,3,Faience,TAB:B,+520-070-255-832+,1,[+520-070-255-832+],SOLO,0,1,0.0,tama-han,O killer[RV] of Darkness[RV]
511.1,yajnadevam,Harappa,Inter-Riverine,3,Steatite,SEAL:S,+700[,1,[+700[],SOLO,0,1,0.0,ref:26.1,
512.1,yajnadevam,Harappa,Inter-Riverine,3,-,TAB:B,+740-033-000-335-575-413+,1,[+740-033-000-335-575-413+],SOLO,0,1,0.0,,
512.2,yajnadevam,Harappa,Inter-Riverine,3,-,TAB:B,+400-525-550-033-705-240+,1,[+400-525-550-033-705-240+],SOLO,0,1,0.0,maYja-aSmI,The roaring[√मञ्ज् अच्] thunderbolt weilder[इनि]
513.1,yajnadevam,Harappa,Inter-Riverine,3,-,SEAL:S,+740-061-002-455-420-032+,1,[+740-061-002-455-420-032+],SOLO,0,1,0.0,haya-savatAm,Of the Horse[RV] drivers[√सु शतृ gmp] [SR: aśvapati]
514.1,yajnadevam,Harappa,Inter-Riverine,-,Steatite,TAB:I,]000-171-067+,1,[]000-171-067+],SOLO,0,1,0.0,,
515.1,yajnadevam,Harappa,Inter-Riverine,3,Faience,TAB:B,+700-033+,1,[+700-033+],SOLO,0,1,0.0,ref:212.1,
515.2,yajnadevam,Harappa,Inter-Riverine,3,Faience,TAB:B,+520-240+,1,[+520-240+],SOLO,0,1,0.0,ref:282.2,
516.1,yajnadevam,Harappa,Inter-Riverine,3,-,TAB:B,+033-700+,1,[+033-700+],SOLO,0,1,0.0,ref:290.1,
516.2,yajnadevam,Harappa,Inter-Riverine,3,-,TAB:B,+740-690-435-255+,1,[+740-690-435-255+],SOLO,0,1,0.0,mAKam,Oblation[Hariv]
517.1,yajnadevam,Harappa,Inter-Riverine,3,-,TAG,+520-220-415-000[,1,[+520-220-415-000[],SOLO,0,1,0.0,,
517.2,yajnadevam,Harappa,Inter-Riverine,3,-,TAG,]000-220[,1,[]000-220[],SOLO,0,1,0.0,,
518.1,yajnadevam,Harappa,Inter-Riverine,3,-,TAB:I,+700-034+,1,[+700-034+],SOLO,0,1,0.0,ref:198.2,
518.2,yajnadevam,Harappa,Inter-Riverine,3,-,TAB:I,+002-861-416+,1,[+002-861-416+],SOLO,0,1,0.0,ref:476.2,
519.1,yajnadevam,Harappa,Inter-Riverine,3,Steatite,TAB:I,+700-032+,1,[+700-032+],SOLO,0,1,0.0,ref:39.1,
519.2,yajnadevam,Harappa,Inter-Riverine,3,Steatite,TAB:I,+390-004-155-390+,1,[+390-004-155-390+],SOLO,0,1,0.0,raya-cara,The quick[Kāv] mover[MBh]
520.1,yajnadevam,Harappa,Inter-Riverine,3,Steatite,TAB:I,+400-098+,1,[+400-098+],SOLO,0,1,0.0,ref:281.1,
521.1,yajnadevam,Harappa,Inter-Riverine,3,-,SEAL:R,]292-596[,1,[]292-596[],SOLO,0,1,0.0,,
522.1,yajnadevam,Harappa,Inter-Riverine,3,Clay,POT:T:g,+000-335-000-090-480+,1,[+000-335-000-090-480+],SOLO,0,1,0.0,,
523.1,yajnadevam,Harappa,Inter-Riverine,3,Clay,POT:T:g,]233-554-435[,1,[]233-554-435[],SOLO,0,1,0.0,,
524.1,yajnadevam,Harappa,Inter-Riverine,-,Clay,POT:T:g,+000-000-014+,1,[+000-000-014+],SOLO,0,1,0.0,,
525.1,yajnadevam,Harappa,Inter-Riverine,3,Clay,POT:T:g,]000-745[,1,[]000-745[],SOLO,0,1,0.0,,
526.1,yajnadevam,Harappa,Inter-Riverine,3,Faience,TAB:B,+400-520-233+,1,[+400-520-233+],SOLO,0,1,0.0,maRiH,Jewel[RV](also a personal name)
527.1,yajnadevam,Harappa,Inter-Riverine,3,Steatite,TAB:I,+740-032[,1,[+740-032[],SOLO,0,1,0.0,,
528.1,yajnadevam,Harappa,Inter-Riverine,3,Clay,TAB:B,+942+,1,[+942+],SOLO,0,1,0.0,amatA,The imperceptible one[ŚBr; =Brahman BṛĀr.Up. 3.8.8]
529.1,yajnadevam,Harappa,Inter-Riverine,3,Clay,POT:T:g,+002+,1,[+002+],SOLO,0,1,0.0,ref:341.1,
530.1,yajnadevam,Harappa,Inter-Riverine,3,Steatite,SEAL:S,+156-140+,1,[+156-140+],SOLO,0,1,0.0,taya,O Protector[√तय् अच्]
531.1,yajnadevam,Harappa,Inter-Riverine,3,Clay,POT:T:s,+552[,1,[+552[],SOLO,0,1,0.0,,
532.1,yajnadevam,Harappa,Inter-Riverine,3,Steatite,TAB:I,+868-705-590+,1,[+868-705-590+],SOLO,0,1,0.0,ref:234.1,
532.2,yajnadevam,Harappa,Inter-Riverine,3,Steatite,TAB:I,+700-034-400-525-550+,1,[+700-034-400-525-550+],SOLO,0,1,0.0,ASam icCAm,Desire[Yājñ] for food[ŚBr]
533.1,yajnadevam,Harappa,Inter-Riverine,3,Steatite,TAB:I,+090-740-101-031+,1,[+090-740-101-031+],SOLO,0,1,0.0,A-Ana,O praṇa's[√अन् nms] breath[T]
534.1,yajnadevam,Harappa,Inter-Riverine,3,Steatite,TAB:I,+400-740-637+,1,[+400-740-637+],SOLO,0,1,0.0,tAnI,The roarer[√तन् घञ् इनि]
535.1,yajnadevam,Harappa,Inter-Riverine,3,Clay,TAB:B,+740-032-840+,1,[+740-032-840+],SOLO,0,1,0.0,dahan,O burning one[√दह् शतृ]
535.2,yajnadevam,Harappa,Inter-Riverine,3,Clay,TAB:B,+740-032-840+,1,[+740-032-840+],SOLO,0,1,0.0,ref:535.1,
536.1,yajnadevam,Harappa,Inter-Riverine,3,-,TAG:L,]000-880-002-000[,1,[]000-880-002-000[],SOLO,0,1,0.0,,
537.1,yajnadevam,Harappa,Inter-Riverine,3,Steatite,SEAL:S,+740-390-590-002-861+,1,[+740-390-590-002-861+],SOLO,0,1,0.0,rava-varam,The Roaring[√रु अच्] excellent one[MBh]
538.1,yajnadevam,Harappa,Inter-Riverine,3,Clay,POT:T:g,]220-032-176-000+,1,[]220-032-176-000+],SOLO,0,1,0.0,,
539.1,yajnadevam,Harappa,Inter-Riverine,3,Clay,POT:T:g,]740[,1,[]740[],SOLO,0,1,0.0,ref:26.1,
540.1,yajnadevam,Harappa,Inter-Riverine,3,Clay,POT:T:g,+034-000+,1,[+034-000+],SOLO,0,1,0.0,,
541.1,yajnadevam,Harappa,Inter-Riverine,3,Clay,POT:T:g,+063-700-176-000+,1,[+063-700-176-000+],SOLO,0,1,0.0,,
542.1,yajnadevam,Harappa,Inter-Riverine,3,Clay,POT:T:g,+111-033+,1,[+111-033+],SOLO,0,1,0.0,jAna,O Origin[RV]
543.1,yajnadevam,Harappa,Inter-Riverine,3,Clay,POT:T:g,+000-480-003-064-002-003-861+,1,[+000-480-003-064-002-003-861+],SOLO,0,1,0.0,,
544.1,yajnadevam,Harappa,Inter-Riverine,3,Steatite,TAB:I,+700-033+,1,[+700-033+],SOLO,0,1,0.0,ref:212.1,
544.2,yajnadevam,Harappa,Inter-Riverine,3,Steatite,TAB:I,+400-740-032-028+,1,[+400-740-032-028+],SOLO,0,1,0.0,ASasanI,O slaughterer[RV आशसन इनि]
545.1,yajnadevam,Harappa,Inter-Riverine,3,Clay,TAB:B,+090-740-176[,1,[+090-740-176[],SOLO,0,1,0.0,,
546.1,yajnadevam,Harappa,Inter-Riverine,-,Steatite,TAB:I,+700[,1,[+700[],SOLO,0,1,0.0,ref:26.1,
546.2,yajnadevam,Harappa,Inter-Riverine,-,Steatite,TAB:I,+242-636[,1,[+242-636[],SOLO,0,1,0.0,,
547.1,yajnadevam,Harappa,Inter-Riverine,3,Steatite,TAB:I,+700[,1,[+700[],SOLO,0,1,0.0,ref:26.1,
547.2,yajnadevam,Harappa,Inter-Riverine,3,Steatite,TAB:I,+740-776[,1,[+740-776[],SOLO,0,1,0.0,,
548.1,yajnadevam,Harappa,Inter-Riverine,-,Faience,TAB:B,+700-032+,1,[+700-032+],SOLO,0,1,0.0,ref:39.1,
548.2,yajnadevam,Harappa,Inter-Riverine,-,Faience,TAB:B,+400-740-176-791+,1,[+400-740-176-791+],SOLO,0,1,0.0,dahanI,The destroying one[BhP]
549.1,yajnadevam,Harappa,Inter-Riverine,3,Steatite,TAB:I,+034-700+,1,[+034-700+],SOLO,0,1,0.0,ref:396.1,
549.2,yajnadevam,Harappa,Inter-Riverine,3,Steatite,TAB:I,+400-740-032-027+,1,[+400-740-032-027+],SOLO,0,1,0.0,ref:494.1,
550.1,yajnadevam,Harappa,Inter-Riverine,3,Faience,TAB:B,+700-033+,1,[+700-033+],SOLO,0,1,0.0,ref:212.1,
550.2,yajnadevam,Harappa,Inter-Riverine,3,Faience,TAB:B,+400-740-176-519+,1,[+400-740-176-519+],SOLO,0,1,0.0,sahasAnI,Possessor of the mighty ones(maruts)[सहसान इनि]
551.1,yajnadevam,Harappa,Inter-Riverine,3,Steatite,SEAL:S,+625-368-257-000[,1,[+625-368-257-000[],SOLO,0,1,0.0,,
552.1,yajnadevam,Harappa,Inter-Riverine,-,Faience,TAB:B,+617-550-003+,1,[+617-550-003+],SOLO,0,1,0.0,jA-aSnan,The consuming[√अश् शतृ] creator[जन् nms.]
553.1,yajnadevam,Harappa,Inter-Riverine,-,Faience,TAB:B,+000+,1,[+000+],SOLO,0,1,0.0,,
553.2,yajnadevam,Harappa,Inter-Riverine,-,Faience,TAB:B,+220+,1,[+220+],SOLO,0,1,0.0,ref:250.1,
554.1,yajnadevam,Harappa,Inter-Riverine,-,Faience,TAB:B,+700-032+,1,[+700-032+],SOLO,0,1,0.0,ref:39.1,
554.2,yajnadevam,Harappa,Inter-Riverine,-,Faience,TAB:B,+400-090-740-400-090+,1,[+400-090-740-400-090+],SOLO,0,1,0.0,EnEH,"by the Aina[MBh, imp] people"
555.1,yajnadevam,Harappa,Inter-Riverine,-,Faience,TAB:B,+400-740-000+,1,[+400-740-000+],SOLO,0,1,0.0,,
556.1,yajnadevam,Harappa,Inter-Riverine,-,Faience,TAB:B,+824-892-413+,1,[+824-892-413+],SOLO,0,1,0.0,ref:295.1,
556.2,yajnadevam,Harappa,Inter-Riverine,-,Faience,TAB:B,+400-740-141+,1,[+400-740-141+],SOLO,0,1,0.0,awAni,The Wanderers[√अट् अच् ; =maruts RV 4.6.10]
557.1,yajnadevam,Harappa,Inter-Riverine,-,Faience,TAB:B,+032-700+,1,[+032-700+],SOLO,0,1,0.0,ref:409.1,
557.2,yajnadevam,Harappa,Inter-Riverine,-,Faience,TAB:B,+400-153-118+,1,[+400-153-118+],SOLO,0,1,0.0,rayiH,Wealth[RV; =Vaiśvānara Ātman Ch. Up]
558.1,yajnadevam,Harappa,Inter-Riverine,-,Faience,TAB:B,+400-000[,1,[+400-000[],SOLO,0,1,0.0,,
559.1,yajnadevam,Harappa,Inter-Riverine,-,Faience,TAB:B,+740-388-031+,1,[+740-388-031+],SOLO,0,1,0.0,avana,O Preserver[Dharmaś]
559.2,yajnadevam,Harappa,Inter-Riverine,-,Faience,TAB:B,+298-350-892-590+,1,[+298-350-892-590+],SOLO,0,1,0.0,vaDa-cala,O killing[RV] wanderer[MBh]
560.1,yajnadevam,Harappa,Inter-Riverine,-,Faience,TAB:B,+700-033+,1,[+700-033+],SOLO,0,1,0.0,ref:212.1,
560.2,yajnadevam,Harappa,Inter-Riverine,-,Faience,TAB:B,+400-236-233+,1,[+400-236-233+],SOLO,0,1,0.0,manA-amaniH,The way[Uṇ] of devotion[RV]
561.1,yajnadevam,Harappa,Inter-Riverine,-,Faience,TAB:B,]525-550-033-705-000+,1,[]525-550-033-705-000+],SOLO,0,1,0.0,,
561.2,yajnadevam,Harappa,Inter-Riverine,-,Faience,TAB:B,+033-711-335-575-413+,1,[+033-711-335-575-413+],SOLO,0,1,0.0,imam mfjam,This destroyer[BhP]
562.1,yajnadevam,Harappa,Inter-Riverine,-,Faience,TAB:B,]000-700[,1,[]000-700[],SOLO,0,1,0.0,,
562.2,yajnadevam,Harappa,Inter-Riverine,-,Faience,TAB:B,]590-000[,1,[]590-000[],SOLO,0,1,0.0,,
563.1,yajnadevam,Harappa,Inter-Riverine,-,Faience,TAB:B,]033+,1,[]033+],SOLO,0,1,0.0,ref:337.1,
564.1,yajnadevam,Harappa,Inter-Riverine,-,Copper,TAB:B,+000-176-790+,1,[+000-176-790+],SOLO,0,1,0.0,,
565.1,yajnadevam,Harappa,Inter-Riverine,-,Copper,TAB:B,+000-176-790+,1,[+000-176-790+],SOLO,0,1,0.0,,
566.1,yajnadevam,Harappa,Inter-Riverine,3,Steatite,TAB:I,]000-000-000[,1,[]000-000-000[],SOLO,0,1,0.0,,
566.2,yajnadevam,Harappa,Inter-Riverine,3,Steatite,TAB:I,]000-000[,1,[]000-000[],SOLO,0,1,0.0,,
567.1,yajnadevam,Harappa,Inter-Riverine,3,Faience,TAB:B,+700-032+,1,[+700-032+],SOLO,0,1,0.0,ref:39.1,
567.2,yajnadevam,Harappa,Inter-Riverine,3,Faience,TAB:B,+400-740-032-840+,1,[+400-740-032-840+],SOLO,0,1,0.0,ref:548.2,
